Source,Target,Type,Id
11,93,directed,3081
11,90,directed,3082
64,64,directed,349
75,22,directed,456
50,42,directed,28
56,42,directed,2345
90,42,directed,2573
107,42,directed,674
107,42,directed,675
107,42,directed,676
107,42,directed,677
107,42,directed,678
107,42,directed,679
107,42,directed,762
103,19,directed,1853
70,19,directed,2742
56,19,directed,2182
56,19,directed,2184
103,19,directed,2022
74,19,directed,2114
74,19,directed,2115
103,19,directed,2561
56,19,directed,2187
56,19,directed,2211
56,19,directed,2212
42,19,directed,940
78,19,directed,2270
78,19,directed,2271
6,19,directed,1184
106,19,directed,2952
106,19,directed,2955
106,19,directed,2958
106,19,directed,2962
70,19,directed,2984
108,97,directed,1457
103,97,directed,2878
6,97,directed,882
39,97,directed,1844
39,97,directed,1845
31,54,directed,3657
31,54,directed,3722
11,54,directed,3694
11,54,directed,3730
11,54,directed,3731
71,19,directed,3140
71,19,directed,3139
74,19,directed,2495
74,19,directed,2501
107,107,directed,685
75,107,directed,580
42,107,directed,660
56,34,directed,2175
56,34,directed,2278
56,34,directed,2280
56,34,directed,2340
56,34,directed,2364
56,34,directed,2366
56,34,directed,2344
79,71,directed,3225
31,97,directed,3660
103,19,directed,3329
65,97,directed,50
94,19,directed,1929
108,97,directed,1133
11,19,directed,2901
106,97,directed,2949
11,19,directed,2881
11,97,directed,2897
103,19,directed,3035
11,97,directed,3629
26,19,directed,3850
31,97,directed,3707
103,19,directed,3745
103,97,directed,3509
103,19,directed,3550
11,97,directed,3410
11,19,directed,3548
79,97,directed,3165
79,19,directed,3167
79,97,directed,3181
103,19,directed,3205
11,97,directed,3185
11,19,directed,3186
11,97,directed,3189
103,19,directed,3066
79,97,directed,3119
11,19,directed,3127
11,97,directed,3128
108,19,directed,1168
103,97,directed,1425
103,19,directed,1427
56,97,directed,2174
87,19,directed,2288
87,97,directed,2289
87,19,directed,2290
87,97,directed,2291
56,19,directed,2241
56,97,directed,2279
74,19,directed,2215
11,97,directed,3290
103,19,directed,1625
56,97,directed,2359
64,19,directed,285
108,97,directed,1124
81,19,directed,1046
